disease_name,symptoms,url
10q22.3q23.3 microduplication syndrome,Abnormal cardiovascular system morphology; Abnormal clavicle morphology; Abnormal rib morphology; Abnormality of the dentition; Abnormality of the philtrum; Ambiguous genitalia; Aphasia; Broad forehead; Chronic otitis media; Deeply set eye; Full cheeks; Global developmental delay; Hypospadias; Hypotelorism; Intellectual disability; Low-set ears; Microcephaly; Microretrognathia; Strabismus; Tetralogy of Fallot; Upslanted palpebral fissure,https://rarediseases.info.nih.gov/diseases/21052/10q223q233-microduplication-syndrome
11p partial monosomy syndrome,Ambiguous genitalia; Aplasia/Hypoplasia of the iris; Cataract; Cryptorchidism; Displacement of the urethral meatus; Dysfunction of lateral corticospinal tracts; Everted lower lip vermilion; Glaucoma; Hearing abnormality; Intellectual disability; Microcephaly; Micrognathia; Nystagmus; Obesity; Ptosis; Scoliosis; Short stature; Visual impairment,https://rarediseases.info.nih.gov/diseases/5528/11p-partial-monosomy-syndrome
11p15.4 microduplication syndrome,Abnormal facial shape; Aggressive behavior; Anteverted nares; Appendicular hypotonia; Atypical behavior; Delayed speech and language development; Global developmental delay; Highly arched eyebrow; Increased overbite; Intellectual disability; Large hands; Long philtrum; Macrotia; Obesity; Posteriorly rotated ears; Seizure; Smooth philtrum; Synophrys,https://rarediseases.info.nih.gov/diseases/21232/11p154-microduplication-syndrome
11q partial monosomy syndrome,Abnormal form of the vertebral bodies; Abnormal palate morphology; Abnormality of the anus; Agenesis of corpus callosum; Annular pancreas; Anteverted nares; Aortic valve stenosis; Aplasia/Hypoplasia of the earlobes; Aplasia/Hypoplasia of the eyebrow; Attention deficit hyperactivity disorder; Bipolar affective disorder; Bone marrow hypocellularity; Broad columella; Broad hallux phalanx; Cataract; Cerebral atrophy; Coarctation of aorta; Constipation; Cryptorchidism; Downslanted palpebral fissures; Duodenal atresia; Ectopic anus; Ectropion; Eczematoid dermatitis; Epicanthus; Eyelid coloboma; Facial asymmetry; Feeding difficulties in infancy; Finger syndactyly; Frontal bossing; Global developmental delay; Growth delay; Hand polydactyly; High forehead; Hip dislocation; Hydronephrosis; Hypertelorism; Hypoplastic left heart; Inguinal hernia; Intellectual disability; Intestinal malrotation; Intrauterine growth retardation; Iris coloboma; Long hallux; Long philtrum; Macrocephaly; Microcornea; Missing ribs; Multicystic kidney dysplasia; Pachygyria; Pes planus; Posteriorly rotated ears; Premature birth; Ptosis; Pyloric stenosis; Recurrent respiratory infections; Schizophrenia; Scoliosis; Seizure; Short neck; Short nose; Short stature; Short toe; Smooth philtrum; Spina bifida; Strabismus; Talipes; Thrombocytopenia; Toe clinodactyly; Toe syndactyly; Trigonocephaly; Ventricular septal defect; Ventriculomegaly; Webbed neck; Wide nasal bridge,https://rarediseases.info.nih.gov/diseases/307/11q-partial-monosomy-syndrome
11q22.2q22.3 microdeletion syndrome,"Abnormal social behavior; Anxiety; Attention deficit hyperactivity disorder; Atypical behavior; Autism with high cognitive abilities; Bilateral single transverse palmar creases; Brachydactyly; Clinodactyly of the 5th finger; Compulsive behaviors; Delayed gross motor development; Delayed myelination; Delayed speech and language development; Depressed nasal bridge; Drooling; Dysarthria; Epicanthus; Epidermal thickening; Feeding difficulties; Global developmental delay; Hemangioma; High, narrow palate; Hyperpigmentation of the skin; Hypoplasia of the corpus callosum; Hypotonia; Intellectual disability, mild; Low-set ears; Micrognathia; Myopia; Narrow forehead; Neurodevelopmental delay; Obesity; Oral motor hypotonia; Papule; Poor head control; Posteriorly rotated ears; Ptosis; Reduced eye contact; Seizure; Short attention span; Short foot; Small hand; Strabismus; Thick eyebrow; Thin upper lip vermilion",https://rarediseases.info.nih.gov/diseases/21858/11q222q223-microdeletion-syndrome
12q14 microdeletion syndrome,"Abnormal nostril morphology; Abnormality of the spleen; Chiari malformation; Clinodactyly of the 5th finger; Deeply set eye; Delayed speech and language development; Diabetes mellitus; Downturned corners of mouth; Ectopic kidney; Failure to thrive; Frontal bossing; Global developmental delay; Horseshoe kidney; Hyperpigmentation of the skin; Hypertelorism; Hypodontia; Hypotonia; Intellectual disability, mild; Intestinal malrotation; Intrauterine growth retardation; Microcephaly; Micrognathia; Osteopoikilosis; Prominent nasal bridge; Renal hypoplasia; Scoliosis; Short stature; Skeletal muscle atrophy; Specific learning disability; Subcutaneous nodule; Synophrys; Syringomyelia; Thick eyebrow; Thin vermilion border; Tremor; Triangular face; Wide nose",https://rarediseases.info.nih.gov/diseases/13390/12q14-microdeletion-syndrome
12q15q21.1 microdeletion syndrome,No symptoms listed,https://rarediseases.info.nih.gov/diseases/21141/12q15q211-microdeletion-syndrome
13q12.3 microdeletion syndrome,"Allergy; Atopic dermatitis; Camptodactyly; Chronic otitis media; Congenital diaphragmatic hernia; Constipation; Cryptorchidism; Delayed speech and language development; Failure to thrive; Hearing impairment; Hemihypotrophy of lower limb; Hip dysplasia; Hyperactivity; Hypermetropia; Impaired pain sensation; Intellectual disability, moderate; Intrauterine growth retardation; Kyphoscoliosis; Low insertion of columella; Malar flattening; Obesity; Obstructive sleep apnea; Oligodontia; Recurrent respiratory infections; Self-mutilation; Short stature; Thin upper lip vermilion; Underdeveloped nasal alae; Upper eyelid edema; Vomiting",https://rarediseases.info.nih.gov/diseases/21737/13q123-microdeletion-syndrome
14q11.2 microduplication syndrome,Acanthosis nigricans; Aggressive behavior; Attention deficit hyperactivity disorder; Autism; Delayed speech and language development; Depressed nasal bridge; Epicanthus; Exaggerated cupid's bow; Feeding difficulties in infancy; Generalized hypotonia; Highly arched eyebrow; Horizontal nystagmus; Hypertelorism; Hypothyroidism; Intellectual disability; Microcephaly; Micrognathia; Neurodevelopmental delay; Obesity; Polyphagia; Seizure; Sleep abnormality; Slurred speech; Wide nasal bridge,https://rarediseases.info.nih.gov/diseases/20773/14q112-microduplication-syndrome
14q24.1q24.3 microdeletion syndrome,"Abnormal heart morphology; Atrial septal defect; Brachydactyly; Cryptorchidism; Dislocated radial head; Downslanted palpebral fissures; Ectopic kidney; Hypertelorism; Intellectual disability, mild; Intestinal malrotation; Joint hypermobility; Limited elbow extension and supination; Long philtrum; Midface retrusion; Prominent nasal bridge; Pulmonary artery atresia; Short nose; Short thumb; Smooth philtrum; Synophrys; Thin upper lip vermilion; Truncus arteriosus; Ventricular septal defect; Wide nasal bridge",https://rarediseases.info.nih.gov/diseases/21706/14q241q243-microdeletion-syndrome
14q32 duplication syndrome,Acute myeloid leukemia; Chronic myelomonocytic leukemia; Myelofibrosis,https://rarediseases.info.nih.gov/diseases/17890/14q32-duplication-syndrome
15q overgrowth syndrome,"Abnormal cardiovascular system morphology; Abnormal coccyx morphology; Abnormal facial shape; Abnormal finger flexion crease; Abnormal renal morphology; Abnormal sternum morphology; Abnormality of the falx cerebri; Abnormality of the incisor; Abnormality of the outer ear; Agenesis of corpus callosum; Arachnodactyly; Bifid uvula; Brain atrophy; Breech presentation; Clinodactyly of the 5th finger; Coarse facial features; Congenital stationary night blindness; Contracture of the proximal interphalangeal joint of the 2nd finger; Contracture of the proximal interphalangeal joint of the 3rd finger; Craniosynostosis; Dandy-Walker malformation; Dental crowding; Disproportionate tall stature; Dolichocephaly; Downslanted palpebral fissures; Headache; High palate; High, narrow palate; Horseshoe kidney; Hydrocephalus; Hydronephrosis; Hyperreflexia; Hypertelorism; Intrauterine growth retardation; Joint hypermobility; Large hands; Low-set ears; Macrocephaly; Malar flattening; Mandibular prognathia; Micrognathia; Microretrognathia; Mitral regurgitation; Mixed hearing impairment; Motor delay; Neonatal hypotonia; Nephroblastoma; Neurodevelopmental delay; Overgrowth; Overlapping toe; Posteriorly rotated ears; Pulmonary arterial hypertension; Retrognathia; Scoliosis; Seizure; Smooth philtrum; Strabismus; Syringomyelia; Telecanthus; Tricuspid regurgitation; Turricephaly; Ureterovesical stenosis; Wide intermamillary distance; Wide nasal bridge",https://rarediseases.info.nih.gov/diseases/17423/15q-overgrowth-syndrome
15q11q13 microduplication syndrome,Abnormal cardiovascular system morphology; Apraxia; Ataxia; Attention deficit hyperactivity disorder; Autism; Clinodactyly of the 5th finger; Compulsive behaviors; Delayed speech and language development; Downslanted palpebral fissures; Epicanthus; Finger syndactyly; Global developmental delay; Hypotonia; Intellectual disability; Joint hypermobility; Macrocephaly; Mask-like facies; Seizure; Short stature,https://rarediseases.info.nih.gov/diseases/17172/15q11q13-microduplication-syndrome
16p11.2p12.2 microduplication syndrome,Attention deficit hyperactivity disorder; Autism; Cleft palate; Dystonia; Global developmental delay; Hypospadias; Intellectual disability; Language impairment; Microcephaly; Myopia; Pectus excavatum; Psychosis; Schizophrenia; Seizure,https://rarediseases.info.nih.gov/diseases/20772/16p112p122-microduplication-syndrome
16p12.1p12.3 triplication syndrome,"2-3 toe syndactyly; Abnormal heart morphology; Abnormal intrahepatic bile duct morphology; Abnormal tricuspid valve morphology; Anxiety; Atrial septal defect; Attention deficit hyperactivity disorder; Bilateral cryptorchidism; Brachydactyly; Bulbous nose; Chronic constipation; Clinodactyly of the 4th finger; Coarse facial features; Decreased response to growth hormone stimulation test; Delayed fine motor development; Delayed gross motor development; Epicanthus; Failure to thrive; Floppy infant; Full cheeks; Hallux valgus; High, narrow palate; Hyperactivity; Hypermetropia; Intrauterine growth retardation; Large earlobe; Long philtrum; Low-set ears; Malar flattening; Myopia; Nail-biting; Prominent fingertip pads; Retrognathia; Short 5th finger; Short nose; Short palpebral fissure; Skin-picking; Strabismus; Tachycardia; Tapered finger; Thick eyebrow; Thin vermilion border; Unilateral ptosis; Wide mouth",https://rarediseases.info.nih.gov/diseases/21993/16p121p123-triplication-syndrome
16p13.11 microdeletion syndrome,"Abnormality of neuronal migration; Agenesis of corpus callosum; Anteverted nares; Atresia of the external auditory canal; Atrial septal defect; Camptodactyly of finger; Cleft palate; Cleft upper lip; Compulsive behaviors; Cryptorchidism; Cyclopia; Delayed speech and language development; Depressed nasal bridge; Downslanted palpebral fissures; Exaggerated cupid's bow; Feeding difficulties; Gastroesophageal reflux; Generalized-onset seizure; Global developmental delay; Holoprosencephaly; Hypertonia; Intellectual disability, severe; Low-set ears; Metatarsus valgus; Microcephaly; Pectus excavatum; Preauricular skin tag; Schizophrenia; Self-injurious behavior; Sensorineural hearing impairment; Short nose; Short stature; Smooth philtrum; Specific learning disability; Talipes equinovarus; Thin upper lip vermilion; Ventricular septal defect; Ventriculomegaly; Wide mouth",https://rarediseases.info.nih.gov/diseases/20774/16p1311-microdeletion-syndrome
16p13.11 microduplication syndrome,Aggressive behavior; Arachnodactyly; Atrial septal defect; Attention deficit hyperactivity disorder; Autism; Coarctation of aorta; Craniosynostosis; Dolichocephaly; Global developmental delay; Hand polydactyly; Intellectual disability; Joint hypermobility; Language impairment; Pectus excavatum; Pes planus; Schizophrenia; Tetralogy of Fallot; Transposition of the great arteries; Ventricular septal defect,https://rarediseases.info.nih.gov/diseases/20775/16p1311-microduplication-syndrome
16q24.1 microdeletion syndrome,No symptoms listed,https://rarediseases.info.nih.gov/diseases/21523/16q241-microdeletion-syndrome
